2026-05-09 16:24:25, Strelitzia, 19.2, 19.0, -0.2, 1500.0, Bovenop grond
2026-05-17 17:56:48, Schefflera, 18.33, 29.0, 10.7, 300.0, Bovenop grond
2026-05-22 07:39:07, Strelitzia, 20.0, 26.0, 6.0, 1500.0, Bovenop grond
2026-05-25 22:41:23, Strelitzia, 24.0, 32.0, 8.0, 1500.0, Bovenop grond
2026-05-28 15:29:14, Ficus, 15.2, 15.0, -0.2, 700.0, Reservoir
2026-05-31 18:19:46, Ficus, 14.13, 14.0, -0.1, 700.0, Bovenop grond
2026-05-31 20:33:52, Strelitzia, 28.13, 28.0, -0.1, 700.0, Bovenop grond
2026-06-02 21:57:44, Ficus, 14.07, 24.0, 9.9, 1000.0, Bovenop grond
2026-06-13 14:04:56, Schefflera, 18.87, 34.0, 15.1, 500.0, Bovenop grond
2026-06-14 20:51:53, Strelitzia, 19.07, 31.0, 11.9, 1000.0, Bovenop grond
2026-06-24 19:06:57, Ficus, 16.0, 32.0, 16.0, 1000.0, Bovenop grond
2026-06-26 19:05:06, Schefflera, 21.27, 41.0, 19.7, 1000.0, Bovenop grond
2026-06-26 19:05:47, Strelitzia, 21.13, 32.0, 10.9, 1000.0, Bovenop grond
2026-07-07 18:58:37, Strelitzia, 19.2, 31.0, 11.8, 1200.0, Bovenop grond
2026-07-15 22:56:32, Ficus, 15.13, 34.0, 18.9, 1500.0, Bovenop grond
2026-07-15 22:57:54, Strelitzia, 20.13, 31.0, 10.9, 1500.0, Bovenop grond
2026-07-15 22:59:18, Schefflera, 20.4, 36.0, 15.6, 1500.0, Bovenop grond
2026-08-08 15:43:42, Strelitzia, 17.13, 29.0, 11.9, 1500.0, Bovenop grond
2026-08-25 21:16:14, Strelitzia, 20.93, 36.0, 15.1, 1500.0, Bovenop grond
2026-08-30 17:51:27, Schefflera, 19.13, 34.0, 14.9, 500.0, Bovenop grond
